Output log dir: ./results/yolo_v3_fp32_origin/2019-12-03_09-19-08
Creating pipeline:
===========================================================================
DEBUG:DEBUG:
0it [00:00, ?it/s]
13it [00:00, 123.93it/s]
26it [00:00, 123.87it/s]
39it [00:00, 123.04it/s]
2232it [00:21, 108.79it/s]
2245it [00:21, 112.39it/s]
2257it [00:21, 114.46it/s]
2269it [00:21, 113.98it/s]
2281it [00:21, 112.71it/s]
2293it [00:21, 113.01it/s]
2306it [00:22, 115.58it/s]
2318it [00:22, 112.85it/s]
2330it [00:22, 112.94it/s]
2342it [00:22, 113.99it/s]
2354it [00:22, 114.21it/s]
2366it [00:22, 115.44it/s]
2378it [00:22, 116.47it/s]
2390it [00:22, 115.81it/s]
2402it [00:22, 115.97it/s]
2414it [00:23, 114.81it/s]
2426it [00:23, 116.07it/s]
2438it [00:23, 117.08it/s]
2450it [00:23, 116.81it/s]
2462it [00:23, 116.95it/s]
2474it [00:23, 116.89it/s]
2486it [00:23, 117.10it/s]
2498it [00:23, 117.77it/s]
2510it [00:23, 116.62it/s]
2523it [00:23, 117.85it/s]
2536it [00:24, 119.25it/s]
2548it [00:24, 117.31it/s]
2560it [00:24, 116.65it/s]
2573it [00:24, 117.68it/s]
2586it [00:24, 118.63it/s]
2598it [00:24, 116.27it/s]
2610it [00:24, 115.96it/s]
2622it [00:24, 116.48it/s]
2634it [00:24, 116.41it/s]
2646it [00:25, 117.05it/s]
2658it [00:25, 117.39it/s]
2670it [00:25, 117.83it/s]
2682it [00:25, 118.19it/s]
2694it [00:25, 115.44it/s]
2706it [00:25, 115.08it/s]
2718it [00:25, 115.75it/s]
2730it [00:25, 116.65it/s]
2742it [00:25, 113.46it/s]
2754it [00:25, 113.77it/s]
2766it [00:26, 114.92it/s]
2778it [00:26, 115.10it/s]
2791it [00:26, 117.41it/s]
2804it [00:26, 118.93it/s]
2817it [00:26, 120.98it/s]
2830it [00:26, 118.67it/s]
2842it [00:26, 117.55it/s]
2854it [00:26, 117.50it/s]
2866it [00:26, 116.37it/s]
2878it [00:27, 114.42it/s]
2890it [00:27, 115.61it/s]
2903it [00:27, 116.89it/s]
2915it [00:27, 117.77it/s]
2928it [00:27, 119.94it/s]
2941it [00:27, 121.26it/s]
2954it [00:27, 121.27it/s]
2967it [00:27, 120.57it/s]
2980it [00:27, 117.00it/s]
2992it [00:27, 116.34it/s]
3005it [00:28, 118.31it/s]
3017it [00:28, 116.38it/s]
3029it [00:28, 116.37it/s]
3042it [00:28, 118.74it/s]
3054it [00:28, 118.87it/s]
3066it [00:28, 118.29it/s]
3079it [00:28, 119.23it/s]
3091it [00:28, 119.12it/s]
3103it [00:28, 117.39it/s]
3115it [00:29, 115.71it/s]
3127it [00:29, 115.52it/s]
3140it [00:29, 118.31it/s]
3152it [00:29, 118.53it/s]
3164it [00:29, 115.30it/s]
3176it [00:29, 115.62it/s]
3188it [00:29, 116.07it/s]
3201it [00:29, 118.72it/s]
3214it [00:29, 119.53it/s]
3226it [00:29, 118.27it/s]
3239it [00:30, 119.00it/s]
3252it [00:30, 119.33it/s]
3264it [00:30, 117.66it/s]
3276it [00:30, 117.83it/s]
3289it [00:30, 118.84it/s]
3301it [00:30, 117.27it/s]
3313it [00:30, 116.62it/s]
3326it [00:30, 117.84it/s]
3338it [00:30, 116.42it/s]
3350it [00:31, 116.78it/s]
3363it [00:31, 118.02it/s]
3376it [00:31, 120.71it/s]
3389it [00:31, 121.27it/s]
3402it [00:31, 117.71it/s]
3414it [00:31, 118.14it/s]
3426it [00:31, 117.57it/s]
3438it [00:31, 117.61it/s]
3450it [00:31, 114.60it/s]
3462it [00:31, 115.14it/s]
3474it [00:32, 116.08it/s]
3486it [00:32, 117.05it/s]
3498it [00:32, 117.79it/s]
3511it [00:32, 119.02it/s]
3524it [00:32, 120.32it/s]
3537it [00:32, 119.98it/s]
3550it [00:32, 118.41it/s]
3562it [00:32, 118.31it/s]
3574it [00:32, 116.74it/s]
3586it [00:33, 114.23it/s]
3598it [00:33, 114.39it/s]
3610it [00:33, 115.30it/s]
3622it [00:33, 116.36it/s]
3634it [00:33, 117.42it/s]
3647it [00:33, 119.07it/s]
3660it [00:33, 120.21it/s]
3673it [00:33, 122.12it/s]
3686it [00:33, 117.89it/s]
3698it [00:33, 116.34it/s]
3710it [00:34, 116.31it/s]
3722it [00:34, 115.50it/s]
3734it [00:34, 114.21it/s]
3746it [00:34, 115.58it/s]
3759it [00:34, 116.92it/s]
3772it [00:34, 118.31it/s]
3785it [00:34, 121.33it/s]
3798it [00:34, 121.16it/s]
3811it [00:34, 119.19it/s]
3823it [00:35, 117.38it/s]
3835it [00:35, 118.12it/s]
3848it [00:35, 120.59it/s]
3861it [00:35, 122.16it/s]
3874it [00:35, 118.86it/s]
3886it [00:35, 119.08it/s]
3899it [00:35, 119.52it/s]
3911it [00:35, 118.66it/s]
3923it [00:35, 117.83it/s]
3935it [00:35, 117.61it/s]
3948it [00:36, 119.75it/s]
3961it [00:36, 119.93it/s]
3974it [00:36, 120.23it/s]
3987it [00:36, 121.97it/s]
4000it [00:36, 122.81it/s]
4013it [00:36, 119.95it/s]
4026it [00:36, 119.26it/s]
4038it [00:36, 119.14it/s]
4050it [00:36, 117.90it/s]
4063it [00:37, 119.94it/s]
4076it [00:37, 119.88it/s]
4089it [00:37, 121.29it/s]
4102it [00:37, 121.67it/s]
4115it [00:37, 118.66it/s]
4127it [00:37, 117.82it/s]
4139it [00:37, 117.49it/s]
4151it [00:37, 116.03it/s]
4163it [00:37, 114.04it/s]
4175it [00:37, 113.83it/s]
4187it [00:38, 112.91it/s]
4199it [00:38, 112.83it/s]
4211it [00:38, 113.89it/s]
4223it [00:38, 114.78it/s]
4235it [00:38, 114.90it/s]
4247it [00:38, 112.72it/s]
4259it [00:38, 113.26it/s]
4272it [00:38, 115.51it/s]
4284it [00:38, 115.10it/s]
4296it [00:39, 113.94it/s]
4308it [00:39, 115.00it/s]
4320it [00:39, 116.35it/s]
4333it [00:39, 118.57it/s]
4346it [00:39, 119.67it/s]
4358it [00:39, 118.87it/s]
4371it [00:39, 119.62it/s]
4383it [00:39, 118.61it/s]
4395it [00:39, 116.68it/s]
4407it [00:39, 116.79it/s]
4420it [00:40, 117.78it/s]
4432it [00:40, 116.19it/s]
4444it [00:40, 116.16it/s]
4457it [00:40, 117.50it/s]
4469it [00:40, 118.00it/s]
4482it [00:40, 119.16it/s]
4494it [00:40, 118.81it/s]
4506it [00:40, 118.74it/s]
4518it [00:40, 116.74it/s]
4530it [00:41, 114.55it/s]
4542it [00:41, 114.45it/s]
4554it [00:41, 116.02it/s]
4567it [00:41, 119.17it/s]
4579it [00:41, 117.48it/s]
4592it [00:41, 119.53it/s]
4605it [00:41, 120.41it/s]
4618it [00:41, 121.59it/s]
4631it [00:41, 120.34it/s]
4644it [00:41, 120.67it/s]
4657it [00:42, 121.04it/s]
4670it [00:42, 119.55it/s]
4682it [00:42, 118.88it/s]
4695it [00:42, 119.67it/s]
4708it [00:42, 120.75it/s]
4721it [00:42, 119.18it/s]
4733it [00:42, 118.89it/s]
4746it [00:42, 119.20it/s]
4758it [00:42, 118.55it/s]
4771it [00:43, 119.08it/s]
4784it [00:43, 119.98it/s]
4797it [00:43, 120.74it/s]
4810it [00:43, 120.57it/s]
4823it [00:43, 118.66it/s]
4835it [00:43, 118.60it/s]
4848it [00:43, 119.56it/s]
4860it [00:43, 118.80it/s]
4872it [00:43, 118.02it/s]
4885it [00:43, 120.24it/s]
4898it [00:44, 120.91it/s]
4911it [00:44, 121.75it/s]
4924it [00:44, 122.67it/s]
4937it [00:44, 119.69it/s]
4949it [00:44, 118.80it/s]
4961it [00:44, 116.11it/s]
4973it [00:44, 115.83it/s]
4985it [00:44, 115.68it/s]
4997it [00:44, 116.89it/s]
